"variable","bf_statistic","bf_p_value","bf_p_adj","bf_reject","eta_B_waba","eta_B_int","delta_eta_B","class_waba","class_iwaba","reclassified","pi_R","E_R_het_int","V_R_het"
"Probe_14788",4.09897096306737,6.15276271542786e-06,1.79108059981728e-05,TRUE,0.617267893905259,0.697773840335012,0.0805059464297528,"Equivocal","Equivocal",FALSE,0.351286344835828,0.367388718435328,0.0831245923205741
"Probe_14789",4.84223088261771,3.03262915668512e-07,1.29832415095504e-06,TRUE,0.50061406373046,0.632766391773971,0.132152328043511,"Within","Equivocal",TRUE,0.499181416222067,0.317145567906512,0.0749935044825094
"Probe_14790",2.72102747759474,0.00153534102575237,0.00237799468678626,TRUE,0.469697190847238,0.617527412660394,0.147830221813156,"Within","Equivocal",TRUE,0.540777017569878,0.265754677627966,0.054766459070085
"Probe_14791",6.77427690205426,1.44193323947661e-10,1.80528243380458e-09,TRUE,0.632160699168822,0.706923689592198,0.0747629904233756,"Equivocal","Equivocal",FALSE,0.33367870829095,0.310071204745787,0.0574308116329709
"Probe_14792",1.90414516290464,0.0319977606690411,0.0378594600491167,TRUE,0.394287024642349,0.583938054046571,0.189651029404222,"Within","Within",FALSE,0.644230641922543,0.308340033675295,0.0798877021966931
"Probe_14793",1.16153751636283,0.311087260912297,0.318991041942817,FALSE,0.178003037574837,0.517653518494754,0.339650480919917,"Within","Within",FALSE,0.910609449573196,0.153323603129977,0.0226483043388925
"Probe_14794",3.05404620927272,0.000414265908227129,0.000734786057354276,TRUE,0.479038576201013,0.622042907340025,0.143004331139013,"Within","Equivocal",TRUE,0.528132505308256,0.330855124322441,0.0839192964001216
"Probe_14795",4.21286499569389,3.87649200894735e-06,1.19585348837567e-05,TRUE,0.631756115360003,0.706672566020991,0.0749164506609882,"Equivocal","Equivocal",FALSE,0.334152852090694,0.250677218918001,0.0375683017878535
"Probe_14796",5.50930167018494,2.08278847502186e-08,1.28626802284799e-07,TRUE,0.558252615061409,0.663410009532082,0.105157394470672,"Within","Equivocal",TRUE,0.424048189021932,0.495188255542299,0.167939772043021
"Probe_14797",3.28509773090242,0.000164798628448981,0.000324844811483125,TRUE,0.308486290125605,0.552117913037492,0.243631622911887,"Within","Within",FALSE,0.76015730643414,0.28043912923577,0.0708024404214377
"Probe_14798",6.27156475072978,1.0208529577227e-09,9.60833502912647e-09,TRUE,0.724778588301935,0.768215237441025,0.0434366491390903,"Equivocal","Equivocal",FALSE,0.231490366264482,0.308987851874523,0.0450919914915223
"Probe_14799",4.18443698429036,4.35026798062399e-06,1.32445706165207e-05,TRUE,0.412901659445738,0.591750592749983,0.178848933304244,"Within","Within",FALSE,0.618588618546809,0.358856441813082,0.106283370191703
"Probe_14800",3.49807339467002,7.00198139889086e-05,0.000152332271416221,TRUE,0.486722247353959,0.625814878459847,0.139092631105888,"Within","Equivocal",TRUE,0.517779182766197,0.235215912834804,0.0420065210934512
"Probe_14801",3.87722216925764,1.51194426929457e-05,3.94707635262128e-05,TRUE,0.710327586943888,0.758147107050388,0.0478195201064997,"Equivocal","Equivocal",FALSE,0.246591599724103,0.261798687971718,0.0337848819109997
"Probe_14802",4.59473198853462,8.24733690230062e-07,3.09960160649637e-06,TRUE,0.516766112347688,0.641061651505211,0.124295539157523,"Within","Equivocal",TRUE,0.477775533838798,0.316393969445562,0.0730017766342807
